,salary_1-3_years,salary_0_years
0,90000.0,45000.0
1,90000.0,100000.0
2,100000.0,80000.0
3,34500.0,65000.0
4,90000.0,24000.0
5,85000.0,55000.0
6,60000.0,40000.0
7,80500.0,24800.0
8,50000.0,26500.0
9,28000.0,40000.0
10,60239.0,34400.0
11,40000.0,55000.0
12,80000.0,130000.0
13,60000.0,40000.0
14,32000.0,25000.0
15,60000.0,75000.0
16,47500.0,34400.0
17,75000.0,40000.0
18,47500.0,60000.0
19,120000.0,72500.0
20,70000.0,40000.0
21,50000.0,40000.0
22,40000.0,50000.0
23,130000.0,70000.0
24,100000.0,41500.0
25,70000.0,35000.0
26,90000.0,40000.0
27,52500.0,115000.0
28,100000.0,30000.0
29,140000.0,40000.0
30,55000.0,43000.0
31,100000.0,102500.0
32,55000.0,109500.0
33,45000.0,30000.0
34,89000.0,61600.0
35,40000.0,96000.0
36,30000.0,80000.0
37,100000.0,92500.0
38,60000.0,30000.0
39,70000.0,32500.0
40,42500.0,24900.0
41,70000.0,65000.0
42,55000.0,20300.0
43,72500.0,25000.0
44,75000.0,50000.0
45,70000.0,13000.0
46,42500.0,42771.0
47,40000.0,10670.0
48,57500.0,100000.0
49,120000.0,1000.0
50,75000.0,120000.0
51,32500.0,140700.0
52,50000.0,5656.0
53,26000.0,8000.0
54,80000.0,106000.0
55,80000.0,50000.0
56,87500.0,52632.0
57,55000.0,106000.0
58,40000.0,64000.0
59,90000.0,25000.0
60,62500.0,60000.0
61,30000.0,40000.0
62,75400.0,102500.0
63,75000.0,6500.0
64,34500.0,11500.0
65,100000.0,25000.0
66,135000.0,25000.0
67,36750.0,47500.0
68,17500.0,25000.0
69,100000.0,114400.0
70,45000.0,60000.0
71,40000.0,40000.0
72,50000.0,28166.0
73,720.0,12500.0
74,35000.0,65000.0
75,85000.0,10016.5
76,1000.0,75000.0
77,50000.0,150000.0
78,40000.0,64000.0
79,35000.0,38300.0
80,150000.0,29000.0
81,50000.0,30000.0
82,150000.0,31500.0
83,55000.0,40000.0
84,41000.0,35973.5
85,50000.0,30000.0
86,55000.0,39520.0
87,150000.0,22400.0
88,50000.0,33000.0
89,70000.0,40000.0
90,40000.0,24801.0
91,1500.0,19121.0
92,40000.0,60000.0
93,100000.0,35500.0
94,60000.0,40000.0
95,62100.0,27600.0
96,30000.0,104050.0
97,60000.0,30000.0
98,38000.0,30200.0
99,35000.0,25000.0
100,150000.0,67500.0
101,50000.0,21500.0
102,67500.0,35000.0
103,80000.0,26500.0
104,150000.0,23000.0
105,95000.0,20000.0
106,16000.0,18000.0
107,125000.0,20157.0
108,100000.0,48593.0
109,80000.0,51000.0
110,50.0,60000.0
111,45000.0,108500.0
112,90000.0,25600.0
113,500.0,21600.0
114,145000.0,52000.0
115,37500.0,40000.0
116,62500.0,9800.0
117,60000.0,22250.0
118,48500.0,17500.0
119,55000.0,2287.0
120,50000.0,42500.0
121,71000.0,35000.0
122,48000.0,27400.0
123,23000.0,27500.0
124,60000.0,27000.0
125,25000.0,27500.0
126,25000.0,29000.0
127,103000.0,27500.0
128,74000.0,31300.0
129,60000.0,30000.0
130,21000.0,30000.0
131,30859.5,22750.0
132,40000.0,75000.0
133,60000.0,55000.0
134,41769.0,77500.0
135,37500.0,125000.0
136,105000.0,37000.0
137,37500.0,65000.0
138,85000.0,9500.0
139,30000.0,72000.0
140,40000.0,50700.0
141,75000.0,26000.0
142,88604.0,11500.0
143,40000.0,31000.0
144,80000.0,50000.0
145,48000.0,120000.0
146,50000.0,30000.0
147,21032.5,106000.0
148,65000.0,72500.0
149,80000.0,105000.0
150,25000.0,50000.0
151,80000.0,22500.0
152,25120.0,13849.0
153,60000.0,40000.0
154,65000.0,30000.0
155,90000.0,41379.0
156,100000.0,31000.0
157,45000.0,100000.0
158,135000.0,54000.0
159,37500.0,70000.0
160,35000.0,115000.0
161,50000.0,45000.0
162,41000.0,55000.0
163,90000.0,85000.0
164,110000.0,40000.0
165,45000.0,62500.0
166,70000.0,45000.0
167,30000.0,63000.0
168,35000.0,92500.0
169,60000.0,18000.0
170,65000.0,27000.0
171,35000.0,60000.0
172,24000.0,45000.0
173,140000.0,23400.0
174,70000.0,5500.0
175,35000.0,70000.0
176,32500.0,3560.0
177,50000.0,50000.0
178,70000.0,75000.0
179,90000.0,10000.0
180,30000.0,45000.0
181,35000.0,50000.0
182,70000.0,45000.0
183,47500.0,9648.0
184,30000.0,33000.0
185,85000.0,30000.0
186,85000.0,30000.0
187,45000.0,28500.0
188,77126.0,30000.0
189,100000.0,30000.0
190,135000.0,2964.0
191,70000.0,23000.0
192,55000.0,45000.0
193,65000.0,22500.0
194,150000.0,42000.0
195,130000.0,30000.0
196,45000.0,45000.0
197,30000.0,29750.0
198,40000.0,60000.0
199,30000.0,78000.0
200,65000.0,7000.0
201,80000.0,15000.0
202,35000.0,60500.0
203,35000.0,24000.0
204,19500.0,40000.0
205,50000.0,20000.0
206,125000.0,2300.0
207,57952.0,100000.0
208,70000.0,45000.0
209,100000.0,27500.0
210,60000.0,21000.0
211,80000.0,30000.0
212,70000.0,39000.0
213,50000.0,45500.0
214,80000.0,45000.0
215,120000.0,1050.0
216,100000.0,15000.0
217,26000.0,340.0
218,47500.0,41000.0
219,90000.0,16500.0
220,110000.0,30000.0
221,55000.0,35000.0
222,30000.0,40000.0
223,55000.0,70000.0
224,150000.0,9400.0
225,47500.0,45000.0
226,58951.0,50000.0
227,80000.0,42500.0
228,95000.0,45000.0
229,90000.0,45000.0
230,95000.0,37000.0
231,60000.0,105000.0
232,100000.0,55000.0
233,30000.0,106000.0
234,80000.0,50000.0
235,110000.0,7750.0
236,70000.0,23400.0
237,100000.0,13000.0
238,40000.0,112000.0
239,67500.0,25000.0
240,35000.0,46800.0
241,65000.0,8820.0
242,70000.0,42200.0
243,70000.0,25900.0
244,45000.0,45000.0
245,42500.0,29750.0
246,30000.0,63111.0
247,60000.0,32000.0
248,45000.0,35649.0
249,115000.0,150000.0
250,80000.0,3800.0
251,70000.0,35000.0
252,70000.0,25600.0
253,42500.0,65000.0
254,35000.0,48500.0
255,100000.0,45000.0
256,40000.0,50000.0
257,57500.0,25000.0
258,30000.0,25000.0
259,60000.0,100000.0
260,45000.0,37500.0
261,60000.0,32000.0
262,100000.0,30000.0
263,65000.0,45000.0
264,56800.0,5037.5
265,50000.0,92500.0
266,80000.0,65000.0
267,270.0,21600.0
268,22500.0,35000.0
269,45000.0,35000.0
270,52760.0,53100.0
271,70000.0,40000.0
272,50000.0,39500.0
273,60000.0,62500.0
274,115000.0,112000.0
275,50000.0,31050.0
276,80000.0,45000.0
277,139000.0,8975.0
278,60000.0,32500.0
279,52500.0,55000.0
280,60000.0,31800.0
281,55000.0,30000.0
282,40000.0,55000.0
283,62100.0,40000.0
284,70000.0,59100.0
285,80000.0,65000.0
286,150000.0,95000.0
287,135000.0,62000.0
288,56250.0,37500.0
289,80000.0,39000.0
290,25000.0,40000.0
291,55000.0,55000.0
292,100000.0,27000.0
293,44920.0,30000.0
294,60000.0,91200.0
295,35550.0,54000.0
296,47500.0,50000.0
297,60000.0,27200.0
298,20000.0,54000.0
299,54000.0,55000.0
300,85000.0,50000.0
301,20770.0,45000.0
302,85391.0,45000.0
303,70000.0,30000.0
304,55000.0,45000.0
305,100000.0,54000.0
306,126440.0,26500.0
307,60000.0,40000.0
308,30000.0,52500.0
309,55000.0,60000.0
310,34750.0,40000.0
311,55000.0,50000.0
312,50000.0,30100.0
313,65000.0,40000.0
314,47500.0,30000.0
315,14400.0,15680.0
316,39000.0,23263.0
317,76500.0,25000.0
318,80000.0,55000.0
319,42500.0,21000.0
320,50000.0,22000.0
321,62500.0,52000.0
322,32500.0,40000.0
323,99000.0,20740.0
324,37500.0,18900.0
325,32500.0,26000.0
326,125000.0,35000.0
327,90000.0,24450.0
328,52000.0,25000.0
329,90000.0,21378.0
330,40000.0,50000.0
331,35000.0,48200.0
332,22158.0,23750.0
333,52000.0,35000.0
334,60000.0,40000.0
335,60000.0,25000.0
336,55000.0,22850.0
337,150000.0,150000.0
338,150000.0,37500.0
339,65000.0,108500.0
340,40000.0,50000.0
341,75000.0,4000.0
342,53900.0,37000.0
343,85000.0,40000.0
344,75000.0,3100.0
345,115000.0,55000.0
346,30000.0,35000.0
347,40000.0,130000.0
348,55000.0,30000.0
349,85000.0,55000.0
350,110000.0,45000.0
351,70000.0,50000.0
352,40500.0,75000.0
353,35000.0,40000.0
354,115000.0,54422.0
355,100000.0,19235.0
356,65000.0,37500.0
357,120000.0,21800.0
358,70000.0,80000.0
359,100000.0,130000.0
360,86300.0,40000.0
361,100000.0,50000.0
362,70000.0,85000.0
363,85000.0,32500.0
364,34500.0,50000.0
365,120000.0,34000.0
366,100000.0,121000.0
367,34000.0,8150.0
368,30000.0,48634.0
369,60000.0,65000.0
370,41000.0,30000.0
371,50000.0,50000.0
372,77500.0,35000.0
373,70000.0,40000.0
374,55000.0,26600.0
375,140000.0,54000.0
376,50000.0,50000.0
377,145000.0,30881.0
378,38000.0,14250.0
379,42500.0,54024.0
380,75000.0,15000.0
381,90000.0,35000.0
382,110000.0,124000.0
383,105000.0,2000.0
384,120000.0,40000.0
385,35000.0,105000.0
386,34000.0,25000.0
387,60000.0,75500.0
388,100000.0,110000.0
389,38000.0,36000.0
390,60000.0,55000.0
391,120000.0,102500.0
392,35000.0,60000.0
393,80000.0,7200.0
394,127500.0,52500.0
395,90000.0,25000.0
396,120000.0,60000.0
397,32500.0,31000.0
398,15279.0,42500.0
399,30000.0,6900.0
400,68250.0,70000.0
401,72800.0,47500.0
402,90000.0,50000.0
403,65000.0,87500.0
404,45000.0,21092.0
405,50000.0,30000.0
406,28000.0,9930.0
407,45000.0,108500.0
408,25000.0,8500.0
409,92000.0,45000.0
410,38000.0,8755.0
411,30730.0,40000.0
412,20621.0,22500.0
413,26500.0,22500.0
414,23000.0,55000.0
415,68800.0,600.0
416,60000.0,22500.0
417,17000.0,35000.0
418,140000.0,47500.0
419,34020.0,40000.0
420,110000.0,40000.0
421,30000.0,2615.0
422,29169.0,30000.0
423,47500.0,30000.0
424,38000.0,26600.0
425,100000.0,45000.0
426,150000.0,60000.0
427,85000.0,39000.0
428,100000.0,121000.0
429,67500.0,60000.0
430,55000.0,29000.0
431,48000.0,500.0
432,80000.0,32500.0
433,45000.0,60000.0
434,45000.0,35000.0
435,60000.0,27500.0
436,50000.0,2000.0
437,75000.0,25000.0
438,90000.0,35000.0
439,50000.0,82500.0
440,150000.0,60000.0
441,31000.0,84000.0
442,65000.0,22400.0
443,40000.0,35000.0
444,32595.0,21600.0
445,80500.0,8790.0
446,45000.0,34000.0
447,40000.0,55000.0
448,29250.0,6200.0
449,40000.0,65000.0
450,500.0,39186.0
451,45000.0,50000.0
452,58000.0,27500.0
453,50000.0,55000.0
454,47500.0,90000.0
455,50000.0,45000.0
456,37500.0,31000.0
457,32000.0,42500.0
458,125000.0,22500.0
459,36300.0,25000.0
460,45000.0,25000.0
461,70000.0,70000.0
462,37500.0,43000.0
463,500.0,65000.0
464,90000.0,38000.0
465,81600.0,60000.0
466,60000.0,95000.0
467,50000.0,30000.0
468,42500.0,80000.0
469,50000.0,45000.0
470,40394.0,50000.0
471,800.0,87500.0
472,80650.0,62500.0
473,52000.0,16000.0
474,125000.0,54400.0
475,33000.0,47500.0
476,115000.0,300.0
477,47500.0,70000.0
478,40000.0,110000.0
479,33000.0,50000.0
480,80000.0,33500.0
481,72500.0,29900.0
482,32500.0,60000.0
483,125000.0,20000.0
484,70000.0,45000.0
485,74000.0,46000.0
486,110000.0,35000.0
487,105000.0,20000.0
488,140000.0,30000.0
489,40000.0,26000.0
490,22500.0,16242.0
491,60000.0,38797.5
492,125000.0,27500.0
493,100000.0,27500.0
494,100000.0,16242.0
495,127500.0,18400.0
496,93500.0,23500.0
497,30000.0,50000.0
498,35000.0,40000.0
499,96000.0,16242.0
500,42500.0,20090.0
501,34215.0,18680.0
502,62500.0,18679.0
503,55000.0,75000.0
504,52500.0,28000.0
505,25000.0,40000.0
506,37500.0,80000.0
507,85000.0,65000.0
508,55000.0,58000.0
509,55000.0,18500.0
510,36000.0,65000.0
511,11900.0,85000.0
512,85000.0,6000.0
513,40000.0,70000.0
514,42500.0,50000.0
515,42500.0,65000.0
516,60000.0,121000.0
517,40000.0,40000.0
518,31500.0,35000.0
519,120000.0,28200.0
520,40000.0,50000.0
521,60000.0,18650.0
522,21500.0,4900.0
523,50000.0,22000.0
524,110000.0,950.0
525,70000.0,12000.0
526,37500.0,30000.0
527,50000.0,20000.0
528,64000.0,25000.0
529,78750.0,6850.0
530,3750.0,28900.0
531,60000.0,45000.0
